county,avg_commute,mean_income,percent_high_school_grad,percent_college_grad,percent_insured,percent_poverty,percent_uninsured,wellbeing_quintile,wellbeing_score,percent_drive_alone,percent_carpool,percent_public_transportation,Total,drive_alone,carpool,public_transportation
"Alachua County, Florida",19.9,64989,92.6,41.6,87.7,24.2,12.3,2,63.1,74.70204068,8.798461698,0.707653397,115452,86245,10158,817
"Albany County, New York",20,81603,92.8,38.6,94.6,12.9,5.4,3,61.7,77.28433339,7.658737396,0.506109794,153524,118650,11758,777
"Albemarle County, Virginia",22.2,98220,91.3,51.7,92,9.7,8,1,65.2,77.37267698,8.248383763,0.964675841,49343,38178,4070,476
"Allegheny County, Pennsylvania",26,76778,93.5,37.8,94,12.7,6,2,62.3,72.06476598,8.68752742,0.293086329,606306,436933,52673,1777
"Allen County, Indiana",20.3,65921,89.3,27,87.8,15.2,12.2,4,61.2,84.05576665,8.71089552,0.458653637,170281,143131,14833,781
"Anchorage Municipality, Alaska",19.4,102500,93,33.2,85.5,8.1,14.5,1,64,75.33615837,11.87907153,0.765922459,158110,119114,18782,1211
"Arlington County, Virginia",27.3,140662,93.5,72.9,91.4,8.7,8.6,2,63.1,53.94339623,6.21802935,0.50873515,143100,77193,8898,728
"Baldwin County, Alabama",25.9,70277,89.5,29,88.2,13,11.8,1,63.4,84.64604333,7.628316533,0.940794809,86310,73058,6584,812
"Barnstable County, Massachusetts",24.6,87236,95.1,40.1,96.5,8.2,3.5,1,66.2,81.47196331,6.871534333,0.643465025,101171,82426,6952,651
"Beaufort County, South Carolina",20.9,82449,92.1,38.8,86,12.4,14,1,64.9,77.19745057,10.720163,1.102316955,76566,59107,8208,844
"Bell County, Texas",18.9,66128,89.9,23.1,87,14.7,13,5,60.8,81.36933174,11.56636472,0.788538729,147488,120010,17059,1163
"Benton County, Washington",21.5,78519,88.9,29.4,89.6,13.9,10.4,2,62.2,81.50136973,10.56510461,0.930931659,82498,67237,8716,768
"Berks County, Pennsylvania",24.5,73165,85.1,23.2,91.5,14.3,8.5,4,60.9,80.16524687,9.744539212,0.571850591,194981,156307,19000,1115
"Bernalillo County, New Mexico",21.6,67191,87.9,32.6,87.4,18.7,12.6,4,61.2,80.01054358,9.332358753,0.555963427,309193,247387,28855,1719
"Bexar County, Texas",24.1,71023,83.3,26.7,83.1,17.2,16.9,1,63.8,79.12835599,11.01043806,0.351421966,850829,673247,93680,2990
"Boise County, Idaho",31.5,62481,94.1,25.1,87.6,13.7,12.4,2,62,65.84627035,12.41953805,4.202953427,2641,1739,328,111
"Boulder County, Colorado",22.7,99755,94.1,58.9,92.6,13.4,7.4,1,64.7,65.22675434,7.597301757,0.557483257,164848,107525,12524,919
"Brevard County, Florida",23.7,66819,90.7,27.3,86.8,14,13.2,5,60.8,81.91957021,8.050356497,0.512504502,230437,188773,18551,1181
"Broome County, New York",18.7,63302,89.9,27.2,94.2,17.4,5.8,5,60.6,79.82420773,8.236662942,0.628981534,86807,69293,7150,546
"Brown County, Wisconsin",18.5,71438,90.6,27.9,93.1,11.7,6.9,2,63.2,83.80840728,7.581260632,0.623726112,130506,109375,9894,814
